Voxel count,Max Feret Diameter (nm),Distance,Contact_Type,Distance to closest DSM (nm)
3.0,11.999731196778884,12nm,ER-KRT,136.05881576950196
3.0,13.263572425703128,12nm,ER-KRT,119.9999957179898
3.0,13.263881245023065,12nm,ER-KRT,2085.626874759328
3.0,11.99925565809228,12nm,ER-KRT,176.7710386957333
3.0,11.999198593449888,12nm,ER-KRT,214.43879916205333
3.0,11.997049126186468,12nm,ER-KRT,65.11528027886015
3.0,11.999311374060264,12nm,ER-KRT,193.03885778754199
3.0,13.263575772697797,12nm,ER-KRT,493.7043627251114
3.0,11.996973546216632,12nm,ER-KRT,11.313709080695844
3.0,13.263611523305885,12nm,ER-KRT,64.37390709379542
3.0,13.263642961863017,12nm,ER-KRT,75.68355187004272
3.0,13.263540022089703,12nm,ER-KRT,59.9999978589949
4.0,13.263881245023065,12nm,ER-KRT,2742.069227679167
4.0,11.99915920168055,12nm,ER-KRT,789.2680287113762
4.0,13.266457362929843,12nm,ER-KRT,83.23461031523038
4.0,14.96534474608622,12nm,ER-KRT,827.0816351796384
4.0,14.965345843859971,12nm,ER-KRT,904.6811442203762
4.0,11.99912250726003,12nm,ER-KRT,707.4687005115265
4.0,16.899336963084554,12nm,ER-KRT,447.6784454254812
4.0,14.962012638512414,12nm,ER-KRT,107.77754511082095
4.0,16.899336963084554,12nm,ER-KRT,257.5266933035892
4.0,11.99704912618647,12nm,ER-KRT,103.22790444661226
4.0,14.965467347395991,12nm,ER-KRT,202.18803342686442
4.0,14.961934235425284,12nm,ER-KRT,1468.822688366345
5.0,14.963092106315932,12nm,ER-KRT,90.7744492906204
5.0,14.96201263851241,12nm,ER-KRT,114.40279479302264
5.0,18.30679927368529,12nm,ER-KRT,144.7756829975333
5.0,14.963092106315932,12nm,ER-KRT,81.09253712973442
5.0,14.96574367966918,12nm,ER-KRT,163.2176491739301
6.0,14.421432162790346,12nm,ER-KRT,178.61691503640034
6.0,18.325377983869963,12nm,ER-KRT,175.5448693074868
6.0,21.90269304960145,12nm,ER-KRT,61.708995247045095
6.0,18.30697663140613,12nm,ER-KRT,56.85068416028116
6.0,14.964763819413538,12nm,ER-KRT,79.99999951380232
7.0,17.435547489601145,12nm,ER-KRT,403.9009695588902
7.0,17.435991384764616,12nm,ER-KRT,140.740894494229
7.0,18.32517898972802,12nm,ER-KRT,2272.05623559712
7.0,21.76526223008676,12nm,ER-KRT,87.08616405783688
7.0,17.43133034836485,12nm,ER-KRT,776.4019187561644
7.0,18.32517898972802,12nm,ER-KRT,1134.4426411596942
7.0,17.4314370505028,12nm,ER-KRT,79.29691037134036
7.0,19.587380802461144,12nm,ER-KRT,79.69943283114844
8.0,18.3069462552219,12nm,ER-KRT,28.565713350303668
8.0,32.212643639116635,12nm,ER-KRT,2868.1172352662543
8.0,20.66882900092324,12nm,ER-KRT,3360.276195962797
8.0,29.375442482939853,12nm,ER-KRT,250.4395979485708
8.0,32.212643639116635,12nm,ER-KRT,436.07340671769634
8.0,20.392185116309665,12nm,ER-KRT,86.16263613703269
8.0,17.431331155272133,12nm,ER-KRT,208.34586678120107
8.0,16.89948528800155,12nm,ER-KRT,3060.2222977904603
9.0,21.768827626561457,12nm,ER-KRT,191.91665501239186
9.0,20.375401006567618,12nm,ER-KRT,184.56435668667842
9.0,23.56780965663416,12nm,ER-KRT,2780.4805995401694
10.0,40.09468427961473,12nm,ER-KRT,418.6072146694642
10.0,18.32518476282952,12nm,ER-KRT,2413.2268663379364
10.0,30.628438567260773,12nm,ER-KRT,530.2980525812018
11.0,20.66857803807983,12nm,ER-KRT,80.5977649065426
11.0,20.37562009423512,12nm,ER-KRT,72.11102825976924
11.0,19.59563844672731,12nm,ER-KRT,73.97296997169178
11.0,23.567756802814213,12nm,ER-KRT,2776.766450551804
12.0,36.87791154479222,12nm,ER-KRT,2987.3654057155363
12.0,21.534722045647747,12nm,ER-KRT,70.7672214161903
13.0,21.76861168724381,12nm,ER-KRT,684.058477418148
14.0,23.65530204857629,12nm,ER-KRT,2844.4162580854027
15.0,32.97906180924978,12nm,ER-KRT,2254.020273539936
15.0,26.826049493060285,12nm,ER-KRT,127.31064202853304
16.0,38.08208917380114,12nm,ER-KRT,84.75848289890565
16.0,25.612133183145566,12nm,ER-KRT,104.99523739326833
16.0,25.81891382404527,12nm,ER-KRT,246.05688508927415
16.0,38.081991349552766,12nm,ER-KRT,71.88880601916027
17.0,29.117326087530028,12nm,ER-KRT,170.88007098209349
18.0,25.29761492318133,12nm,ER-KRT,35.777087958877026
18.0,26.926071925989746,12nm,ER-KRT,58.37807748321212
19.0,33.796360756501734,12nm,ER-KRT,37.735926383675185
21.0,23.99873822607972,12nm,ER-KRT,97.81614807025109
23.0,30.70089331290049,12nm,ER-KRT,57.41080144616718
23.0,29.117091757843244,12nm,ER-KRT,2701.11377176363
24.0,38.07995752431603,12nm,ER-KRT,410.9111841898994
24.0,33.1325679765437,12nm,ER-KRT,2262.423549836967
25.0,30.45972376178496,12nm,ER-KRT,2540.743253121036
25.0,25.61138109705822,12nm,ER-KRT,182.4719078058479
29.0,33.18570062783724,12nm,ER-KRT,88.7242990188497
30.0,43.26461515840819,12nm,ER-KRT,2736.5088044462027
31.0,41.17700181461448,12nm,ER-KRT,50.911687310417626
31.0,28.284132907428702,12nm,ER-KRT,2059.226972050965
32.0,25.40056270392612,12nm,ER-KRT,46.303345158094096
32.0,41.74542972381693,12nm,ER-KRT,75.99999918284085
33.0,38.650666674913786,12nm,ER-KRT,28.565713350303668
38.0,34.358947614368994,12nm,ER-KRT,670.056692797516
41.0,36.87778968310114,12nm,ER-KRT,210.78899692383857
41.0,34.35442082834638,12nm,ER-KRT,176.453951894473
44.0,59.46349319530604,12nm,ER-KRT,666.4893135166494
45.0,42.52048434374523,12nm,ER-KRT,124.45079278222693
50.0,36.876310633251954,12nm,ER-KRT,168.66535190729337
51.0,48.66004224879422,12nm,ER-KRT,121.72100127827434
51.0,40.7921880031045,12nm,ER-KRT,303.657714084693
51.0,38.53042701272434,12nm,ER-KRT,17.888543979438513
52.0,39.3954659415901,12nm,ER-KRT,131.99999671087429
53.0,39.59804331434861,12nm,ER-KRT,65.60487975093565
54.0,39.3954659415901,12nm,ER-KRT,100.31948960431693
54.0,54.46748832036173,12nm,ER-KRT,127.31064202853304
56.0,44.03558789723048,12nm,ER-KRT,185.98925066726227
56.0,40.68280313239787,12nm,ER-KRT,2236.722593806917
56.0,47.99994712811895,12nm,ER-KRT,109.98181920740537
58.0,72.99138978788112,12nm,ER-KRT,644.3104894060525
58.0,31.32395627950816,12nm,ER-KRT,94.99473918594958
59.0,73.48203299872434,12nm,ER-KRT,2949.218242065399
62.0,72.79561924954646,12nm,ER-KRT,2952.989007098949
62.0,49.46845773464181,12nm,ER-KRT,141.421352850557
67.0,51.99090156920664,12nm,ER-KRT,52.30678823409107
67.0,37.73280181483024,12nm,ER-KRT,48.000000418824136
67.0,50.59616783823135,12nm,ER-KRT,43.266613403147865
68.0,60.48430585886198,12nm,ER-KRT,2254.91476157913
71.0,49.46843250788286,12nm,ER-KRT,2118.9055132708745
75.0,48.33109319872182,12nm,ER-KRT,158.64425506606494
76.0,54.46748832036173,12nm,ER-KRT,56.70978708849361
81.0,72.29530682390404,12nm,ER-KRT,665.8888764832227
85.0,60.913577332372896,12nm,ER-KRT,179.1535595430105
86.0,89.93115882113395,12nm,ER-KRT,2957.001242975821
89.0,59.46306587257608,12nm,ER-KRT,87.36131462683262
90.0,64.61136151606244,12nm,ER-KRT,3306.2074180634227
100.0,87.72646088673663,12nm,ER-KRT,144.27750727463717
102.0,64.06429876054604,12nm,ER-KRT,103.84604109958673
109.0,59.99918595695208,12nm,ER-KRT,74.8331459021756
110.0,49.63448076847827,12nm,ER-KRT,113.77169784054787
112.0,60.170347187854254,12nm,ER-KRT,49.47726850446089
113.0,70.39001033991164,12nm,ER-KRT,88.18163621526764
117.0,49.25445508830889,12nm,ER-KRT,663.1560722780705
122.0,85.50897587983748,12nm,ER-KRT,2251.076239190297
122.0,83.22570738565987,12nm,ER-KRT,669.5550496260694
123.0,51.835297659032086,12nm,ER-KRT,61.05734939865215
124.0,96.00000794307562,12nm,ER-KRT,294.86267294487334
128.0,52.267138864527,12nm,ER-KRT,99.11610021617889
133.0,61.55828281832865,12nm,ER-KRT,528.2877850731893
137.0,65.11526517710122,12nm,ER-KRT,639.5623586286092
140.0,55.56913922448933,12nm,ER-KRT,2723.1981221120805
150.0,87.35221259227687,12nm,ER-KRT,223.71411034782798
154.0,88.07117579446097,12nm,ER-KRT,98.63062899739816
157.0,59.93457991754397,12nm,ER-KRT,727.175347492448
158.0,73.75566934524684,12nm,ER-KRT,17.888543979438513
165.0,112.40140855238172,12nm,ER-KRT,2205.669034083257
168.0,98.67927171071275,12nm,ER-KRT,600.3865564707667
181.0,76.81849568535165,12nm,ER-KRT,45.782094559854166
186.0,91.37882272198212,12nm,ER-KRT,408.9792184913677
196.0,76.78267455243548,12nm,ER-KRT,2589.9375941662584
250.0,72.10766988842477,12nm,ER-KRT,338.7978608770936
255.0,124.00050763972104,12nm,ER-KRT,1543.5128943863674
283.0,80.87355719741146,12nm,ER-KRT,185.6448221815299
292.0,135.19588957257417,12nm,ER-KRT,2953.747525680228
301.0,74.29541479963895,12nm,ER-KRT,379.0725600083533
302.0,173.12287499501568,12nm,ER-KRT,491.56079739987035
313.0,146.75182942166316,12nm,ER-KRT,2322.6398297993
338.0,109.05276903649828,12nm,ER-KRT,54.99090960370268
395.0,240.0663560171957,12nm,ER-KRT,383.7082260815805
409.0,98.99496378578404,12nm,ER-KRT,1452.3085383189027
410.0,80.02659978448924,12nm,ER-KRT,451.0254996148433
412.0,112.90312684651806,12nm,ER-KRT,2056.190623989096
418.0,113.96445745847365,12nm,ER-KRT,1458.130327591789
440.0,123.46947340218694,12nm,ER-KRT,245.79665591772937
442.0,95.0718163571307,12nm,ER-KRT,83.9999998447638
512.0,97.40235353521776,12nm,ER-KRT,2352.4626158177853
533.0,251.3836144017972,12nm,ER-KRT,2376.5553578414256
579.0,204.17682279766532,12nm,ER-KRT,2606.619318612502
626.0,147.99979908275418,12nm,ER-KRT,223.4636440334725
650.0,140.91031754677246,12nm,ER-KRT,131.575077944035
674.0,118.9337350245754,12nm,ER-KRT,2055.2138266793922
679.0,133.7340978717057,12nm,ER-KRT,2696.186811590451
702.0,156.4372959265844,12nm,ER-KRT,134.22369704585438
719.0,106.36664098276307,12nm,ER-KRT,2263.7950678472407
739.0,193.7823376255585,12nm,ER-KRT,482.7587645195308
756.0,131.57461617710635,12nm,ER-KRT,108.66461508385329
776.0,135.13790298102165,12nm,ER-KRT,347.14838648142177
808.0,125.60186984909882,12nm,ER-KRT,779.5280794198334
811.0,120.26071597619476,12nm,ER-KRT,472.6267093246861
841.0,152.08377310098797,12nm,ER-KRT,3308.4279493778013
842.0,270.891963571282,12nm,ER-KRT,371.52659615458106
842.0,314.0537168085326,12nm,ER-KRT,229.2596832376148
845.0,156.86859383639964,12nm,ER-KRT,2996.427156176651
897.0,124.89459440564042,12nm,ER-KRT,309.761190919744
930.0,218.24761274114985,12nm,ER-KRT,2295.250851602759
933.0,161.75503886073167,12nm,ER-KRT,2310.577428943361
937.0,194.0120803921085,12nm,ER-KRT,77.76888821808825
979.0,113.70307945337194,12nm,ER-KRT,439.43600758211693
1040.0,185.59850844284887,12nm,ER-KRT,104.76640710521681
