 ,Label,Area,Mean,Min,Max,%Area
86,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0086-0647:1,0.076,99.167,0,255,38.889
87,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0087-0647:1,0.110,235.385,0,255,92.308
88,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0088-0650:1,0.203,191.250,0,255,75.000
89,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0089-0647:1,0.034,255.000,255,255,100.000
90,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0090-0651:1,0.097,255.000,255,255,100.000
91,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0091-0653:1,0.055,0.000,0,0,0.000
92,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0092-0652:1,0.017,63.750,0,255,25.000
93,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0093-0655:1,0.059,200.357,0,255,78.571
94,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0094-0660:1,0.025,255.000,255,255,100.000
95,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0095-0661:1,0.034,255.000,255,255,100.000
96,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0096-0663:1,0.089,242.857,0,255,95.238
97,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0097-0666:1,0.152,198.333,0,255,77.778
98,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0098-0671:1,0.220,240.288,0,255,94.231
99,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0099-0677:1,0.038,0.000,0,0,0.000
100,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0100-0679:1,0.110,0.000,0,0,0.000
101,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0101-0682:1,0.042,255.000,255,255,100.000
102,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0102-0688:1,0.123,0.000,0,0,0.000
103,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0103-0688:1,0.093,57.955,0,255,22.727
104,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0104-0692:1,0.076,255.000,255,255,100.000
105,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0105-0694:1,0.110,0.000,0,0,0.000
106,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0106-0696:1,0.059,0.000,0,0,0.000
107,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0107-0698:1,0.203,42.500,0,255,16.667
108,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0108-0697:1,0.068,0.000,0,0,0.000
109,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0109-0700:1,0.021,0.000,0,0,0.000
110,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0110-0701:1,0.072,0.000,0,0,0.000
111,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0111-0711:1,0.080,0.000,0,0,0.000
112,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0112-0714:1,0.131,49.355,0,255,19.355
113,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0113-0721:1,0.270,51.797,0,255,20.312
114,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0114-0720:1,0.186,52.159,0,255,20.455
115,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0115-0721:1,0.072,240.000,0,255,94.118
116,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0116-0724:1,0.389,221.739,0,255,86.957
117,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0117-0724:1,0.148,233.143,0,255,91.429
118,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0118-0727:1,0.165,255.000,255,255,100.000
119,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0119-0728:1,0.169,235.875,0,255,92.500
120,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0120-0728:1,0.123,61.552,0,255,24.138
121,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0121-0734:1,0.258,158.852,0,255,62.295
122,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0122-0732:1,0.055,0.000,0,0,0.000
123,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0123-0735:1,0.270,3.984,0,255,1.562
124,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0124-0735:1,0.085,255.000,255,255,100.000
125,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0125-0737:1,0.186,144.886,0,255,56.818
126,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0126-0739:1,0.249,198.814,0,255,77.966
127,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0127-0738:1,0.135,215.156,0,255,84.375
128,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0128-0738:1,0.055,78.462,0,255,30.769
129,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0129-0744:1,0.046,185.455,0,255,72.727
130,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0130-0747:1,0.089,255.000,255,255,100.000
131,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0131-0747:1,0.034,191.250,0,255,75.000
132,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0132-0750:1,0.076,170.000,0,255,66.667
133,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0133-0755:1,0.139,7.727,0,255,3.030
134,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0134-0755:1,0.051,255.000,255,255,100.000
135,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0135-0760:1,0.186,255.000,255,255,100.000
136,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0136-0760:1,0.169,63.750,0,255,25.000
137,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0137-0761:1,0.211,96.900,0,255,38.000
138,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0138-0759:1,0.076,255.000,255,255,100.000
139,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0139-0758:1,0.034,0.000,0,0,0.000
140,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0140-0761:1,0.093,139.091,0,255,54.545
141,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0141-0762:1,0.068,255.000,255,255,100.000
142,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0142-0766:1,0.097,243.913,0,255,95.652
143,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0143-0768:1,0.034,255.000,255,255,100.000
144,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0144-0770:1,0.051,0.000,0,0,0.000
145,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0145-0771:1,0.080,255.000,255,255,100.000
146,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0146-0773:1,0.076,0.000,0,0,0.000
147,MAX_Multiply-20211213-K14EBS-VAPB-cell-mix-003_SS-NoFil.tif:0001-0147-0773:1,0.025,0.000,0,0,0.000
