 ,Label,Area,Mean,Min,Max,%Area
145,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0145-0620:1,0.199,255.000,255,255,100.000
146,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0146-0620:1,0.046,0.000,0,0,0.000
147,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0147-0631:1,0.093,255.000,255,255,100.000
148,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0148-0635:1,0.228,255.000,255,255,100.000
149,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0149-0634:1,0.030,0.000,0,0,0.000
150,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0150-0638:1,0.135,255.000,255,255,100.000
151,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0151-0637:1,0.046,255.000,255,255,100.000
152,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0152-0638:1,0.025,170.000,0,255,66.667
153,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0153-0639:1,0.038,0.000,0,0,0.000
154,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0154-0641:1,0.101,233.750,0,255,91.667
155,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0155-0641:1,0.106,204.000,0,255,80.000
156,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0156-0642:1,0.059,255.000,255,255,100.000
157,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0157-0642:1,0.046,0.000,0,0,0.000
158,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0158-0645:1,0.118,236.786,0,255,92.857
159,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0159-0649:1,0.300,154.437,0,255,60.563
160,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0160-0653:1,0.076,70.833,0,255,27.778
161,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0161-0653:1,0.076,184.167,0,255,72.222
162,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0162-0655:1,0.076,0.000,0,0,0.000
163,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0163-0663:1,0.684,146.389,0,255,57.407
164,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0164-0657:1,0.127,178.500,0,255,70.000
165,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0165-0657:1,0.110,255.000,255,255,100.000
166,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0166-0656:1,0.076,255.000,255,255,100.000
167,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0167-0660:1,0.072,150.000,0,255,58.824
168,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0168-0664:1,0.076,184.167,0,255,72.222
169,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0169-0664:1,0.017,255.000,255,255,100.000
170,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0170-0667:1,0.114,255.000,255,255,100.000
171,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0171-0669:1,0.127,42.500,0,255,16.667
172,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0172-0667:1,0.025,255.000,255,255,100.000
173,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0173-0670:1,0.097,0.000,0,0,0.000
174,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0174-0671:1,0.072,225.000,0,255,88.235
175,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0175-0672:1,0.068,255.000,255,255,100.000
176,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0176-0674:1,0.148,225.857,0,255,88.571
177,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0177-0675:1,0.110,39.231,0,255,15.385
178,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0178-0675:1,0.080,0.000,0,0,0.000
179,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0179-0676:1,0.034,0.000,0,0,0.000
180,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0180-0681:1,0.380,164.333,0,255,64.444
181,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0181-0679:1,0.186,168.068,0,255,65.909
182,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0182-0685:1,0.186,46.364,0,255,18.182
183,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0183-0682:1,0.072,0.000,0,0,0.000
184,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0184-0683:1,0.152,247.917,0,255,97.222
185,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0185-0686:1,0.317,200.600,0,255,78.667
186,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0186-0684:1,0.051,0.000,0,0,0.000
187,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0187-0684:1,0.106,255.000,255,255,100.000
188,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0188-0686:1,0.144,255.000,255,255,100.000
189,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0189-0688:1,0.194,255.000,255,255,100.000
190,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0190-0687:1,0.068,0.000,0,0,0.000
191,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0191-0690:1,0.114,207.778,0,255,81.481
192,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0192-0689:1,0.034,255.000,255,255,100.000
193,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0193-0690:1,0.093,255.000,255,255,100.000
194,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0194-0690:1,0.034,0.000,0,0,0.000
195,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0195-0691:1,0.063,255.000,255,255,100.000
196,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0196-0691:1,0.089,0.000,0,0,0.000
197,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0197-0698:1,0.177,248.929,0,255,97.619
198,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0198-0700:1,0.173,0.000,0,0,0.000
199,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0199-0704:1,0.156,172.297,0,255,67.568
200,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0200-0708:1,0.194,110.870,0,255,43.478
201,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0201-0708:1,0.076,255.000,255,255,100.000
202,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0202-0711:1,0.017,255.000,255,255,100.000
203,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0203-0714:1,0.287,146.250,0,255,57.353
204,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0204-0716:1,0.131,246.774,0,255,96.774
205,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0205-0715:1,0.076,170.000,0,255,66.667
206,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0206-0716:1,0.046,231.818,0,255,90.909
207,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0207-0716:1,0.072,195.000,0,255,76.471
208,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0208-0719:1,0.101,212.500,0,255,83.333
209,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0209-0719:1,0.097,221.739,0,255,86.957
210,MAX_Multiply-20220110-K14EBS-VAPB-003_SS.tif:0001-0210-0724:1,0.220,78.462,0,255,30.769
