 ,Label,Area,Mean,Min,Max,%Area
83,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0083-0225:1,0.021,0.000,0,0,0.000
84,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0084-0228:1,0.139,162.273,0,255,63.636
85,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0085-0236:1,0.097,255.000,255,255,100.000
86,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0086-0239:1,0.106,214.200,0,255,84.000
87,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0087-0245:1,0.080,0.000,0,0,0.000
88,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0088-0249:1,0.017,255.000,255,255,100.000
89,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0089-0251:1,0.051,0.000,0,0,0.000
90,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0090-0257:1,0.123,87.931,0,255,34.483
91,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0091-0259:1,0.148,240.429,0,255,94.286
92,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0092-0263:1,0.110,0.000,0,0,0.000
93,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0093-0265:1,0.017,0.000,0,0,0.000
94,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0094-0267:1,0.089,255.000,255,255,100.000
95,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0095-0267:1,0.017,255.000,255,255,100.000
96,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0096-0272:1,0.123,193.448,0,255,75.862
97,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0097-0273:1,0.127,255.000,255,255,100.000
98,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0098-0274:1,0.068,255.000,255,255,100.000
99,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0099-0276:1,0.093,0.000,0,0,0.000
100,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0100-0279:1,0.017,0.000,0,0,0.000
101,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0101-0286:1,0.182,29.651,0,255,11.628
102,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0102-0284:1,0.101,233.750,0,255,91.667
103,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0103-0289:1,0.118,255.000,255,255,100.000
104,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0104-0292:1,0.085,255.000,255,255,100.000
105,MAX_Multiply-20211208-K14-EBS-VAPB-well1-005_SS-NoFil.tif:0001-0105-0298:1,0.127,51.000,0,255,20.000
